"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,21";"2015-02-13 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,28";"2015-02-10 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,30";"2015-02-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,29";"2015-02-06 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,37";"2015-02-04 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,40";"2015-01-26 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,32";"2015-01-23 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,24";"2015-01-22 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,11";"2015-01-21 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,13";"2015-01-16 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,08";"2015-01-16 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,98";"2015-01-14 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,16";"2015-01-12 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,80";"2014-12-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,72";"2014-12-17 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,61";"2014-12-16 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,50";"2014-12-12 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,44";"2014-12-11 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,39";"2014-12-10 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,29";"2014-12-03 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,29";"2014-11-18 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,30";"2014-11-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,30";"2014-11-17 00:00:00"
